seed,adjacency,head,loss,best_epoch,validation_macro_auroc,test_macro_auroc,test_micro_auroc
45,symmetric,concat,W-BCE,16,0.7014962361807252,0.672298386830068,0.7407070497902943
45,none,concat,W-ASL-g2,13,0.6918345395201592,0.6899270659373592,0.7425296480363929
45,asymmetric,concat,W-ASL-g2,9,0.6779432322870783,0.6661985582803066,0.7043084973507409
45,symmetric,concat,W-ASL-g2,9,0.6710222282229897,0.6718194016475235,0.7059531909438725
45,none,concat,W-ASL-g3,13,0.6878321106108198,0.6819379633813981,0.7365679932683837
45,asymmetric,concat,W-ASL-g3,8,0.6691161596191684,0.6706567004805909,0.7016485557264756
45,symmetric,concat,W-ASL-g3,4,0.6707595178213649,0.6511772286115064,0.646115597759634
46,none,dot,W-BCE,21,0.6887774000781501,0.6990763469928233,0.7485882670032475
46,asymmetric,dot,W-BCE,46,0.6937236769370182,0.6730890443367782,0.7331183686348756
46,symmetric,dot,W-BCE,11,0.6836344681832583,0.686757355204089,0.664489902575632
46,none,dot,W-ASL-g2,14,0.674447843905427,0.6924458811612251,0.7313031659632653
46,asymmetric,dot,W-ASL-g2,44,0.6899207193598104,0.6605350153976987,0.7370914355960505
46,symmetric,dot,W-ASL-g2,26,0.6936714085099718,0.6782901975401611,0.6974873124811003
46,none,dot,W-ASL-g3,12,0.6738160356221098,0.685935300652543,0.7268440454121143
46,asymmetric,dot,W-ASL-g3,46,0.6825906185561447,0.6512466517274873,0.7335210165792345
46,symmetric,dot,W-ASL-g3,22,0.6845886931240139,0.6668650579338995,0.684863066829698
46,none,concat,W-BCE,12,0.7038757512786654,0.6893499050585334,0.7376633600231399
46,asymmetric,concat,W-BCE,15,0.7048939986512925,0.6810243857607313,0.7384818035998371
46,symmetric,concat,W-BCE,28,0.7043525635987887,0.6720602649899167,0.7480689333280742
46,none,concat,W-ASL-g2,45,0.6996709725460212,0.6568342055831263,0.766245611959137
46,asymmetric,concat,W-ASL-g2,31,0.6784792786832118,0.6410777433817539,0.7492949552321224
46,symmetric,concat,W-ASL-g2,33,0.6875056120317269,0.6532528060730961,0.7568318673661237
46,none,concat,W-ASL-g3,47,0.6935659311467162,0.6333974943484855,0.7621985892530799
46,asymmetric,concat,W-ASL-g3,43,0.6769569951851896,0.6753917012540489,0.7631731616245284
46,symmetric,concat,W-ASL-g3,33,0.6801021431979413,0.6525991959642546,0.7578212308865486
47,none,dot,W-BCE,18,0.6825137643746211,0.7205503154953306,0.7515415664155458
47,asymmetric,dot,W-BCE,9,0.7121631551127079,0.6796950128387435,0.6865131016710712
47,symmetric,dot,W-BCE,9,0.688922234230141,0.6593276928499219,0.6611709330914158
47,none,dot,W-ASL-g2,18,0.663917785432273,0.7101611651765493,0.7464213636781972
47,asymmetric,dot,W-ASL-g2,9,0.680519804865324,0.6784464414471257,0.6949300871691713
47,symmetric,dot,W-ASL-g2,9,0.684537779191361,0.6734941930557917,0.6814643894871086
47,none,dot,W-ASL-g3,9,0.660168068451141,0.6843617884523653,0.6991911706701377
47,asymmetric,dot,W-ASL-g3,10,0.6748027752506006,0.6729307980530052,0.6928601480429667
47,symmetric,dot,W-ASL-g3,9,0.6751502420227539,0.6678623871041202,0.6826706898591882
47,none,concat,W-BCE,10,0.692521741487551,0.6956207549563033,0.7226059703651114
47,asymmetric,concat,W-BCE,11,0.709105409898075,0.6860150438391358,0.7145209639884826
47,symmetric,concat,W-BCE,12,0.712887876748597,0.6746952705837331,0.7161237493261811
47,none,concat,W-ASL-g2,10,0.6732485007796916,0.6773925325595687,0.7013609500519333
47,asymmetric,concat,W-ASL-g2,10,0.686948734375295,0.67530436572757,0.7072363231175798
47,symmetric,concat,W-ASL-g2,10,0.6791339390152054,0.6709421118601452,0.7032977688373498
47,none,concat,W-ASL-g3,15,0.6695081047312215,0.6813708141047542,0.7266345041349479
47,asymmetric,concat,W-ASL-g3,10,0.6684288359444334,0.6606794271336542,0.6989052084565929
47,symmetric,concat,W-ASL-g3,9,0.6741657811050731,0.6564922567025588,0.6865550099265043
48,none,dot,W-BCE,12,0.7081084348903769,0.6942515996218921,0.7480171643066567
48,asymmetric,dot,W-BCE,14,0.6914376706288854,0.69741543750381,0.7078887771335411
48,symmetric,dot,W-BCE,7,0.6748232924288594,0.6724934949612957,0.673640693409064
48,none,dot,W-ASL-g2,11,0.6916879213489723,0.6909957147065198,0.7363839256366769
48,asymmetric,dot,W-ASL-g2,19,0.6807364390441671,0.673049237448609,0.7085625961424684
48,symmetric,dot,W-ASL-g2,14,0.6712158631801742,0.6823750301583091,0.6887375261310298
48,none,dot,W-ASL-g3,12,0.6857582314059134,0.686788422263683,0.7368375208719546
48,asymmetric,dot,W-ASL-g3,14,0.6784140919510885,0.6760765850846102,0.7079241115449849
48,symmetric,dot,W-ASL-g3,14,0.6732718552569913,0.6738609588881187,0.6855746854415651
