model,repeat,macro_auroc,micro_auroc,macro_auprc,brier,ece_10,macro_f1_0_5
Shared-MLP,3,0.6785090078229651,0.7328287415033068,0.1717303245437718,0.1786481043136589,0.2894986908862291,0.21557717835418178
Shared-MLP,4,0.6842930047643399,0.74581032487937,0.17643489261457732,0.17297901444198518,0.28265223914139714,0.21937214902776936
Shared-MLP,5,0.6870253452258578,0.7436474973375934,0.1759791000098062,0.1743998546878341,0.2848248635745928,0.2165361250752622
MultiTask-DNN,1,0.680648992974637,0.7325227126309838,0.17457248508853063,0.17911523095289422,0.2907695205240857,0.2174148423824951
MultiTask-DNN,2,0.6875256250138267,0.7412140246387673,0.17856400316856036,0.1731625190977242,0.2777501446697097,0.21919583619661295
MultiTask-DNN,3,0.6769583560245983,0.731228076230295,0.16850945902945566,0.17801477443374156,0.28872114743556715,0.21280867899602895
MultiTask-DNN,4,0.6805523206526675,0.7434902181201435,0.17496846674280075,0.17500531151030066,0.2813067731471256,0.21725022361223925
MultiTask-DNN,5,0.6831739938008874,0.7407920167238592,0.1829905293638269,0.17023403574189447,0.2704129864519968,0.21687251917365455
TabPFN,1,0.6877293353691303,0.799900751390368,0.20426759626994037,0.06179627106307805,0.014343216273595248,0.07487451853221694
TabPFN,2,0.6933370038987988,0.8009425906204394,0.20508287664302063,0.06186074948833369,0.016436726026618362,0.07103303621339695
TabPFN,3,0.6889421714240096,0.7996090863671622,0.20047463699964677,0.0620759448058617,0.017533511550078113,0.07386216580763211
TabPFN,4,0.6885993432343431,0.8002843844909872,0.20176834533835356,0.06173428468154427,0.01722083211887152,0.07496885647404518
TabPFN,5,0.6937988174293231,0.8035981606384517,0.21091180416552543,0.06154560825525413,0.01566264663766953,0.07318933815349966
Ensemble-LP-RF-TabPFN-Equal,1,0.7093782879293912,0.8012733207115529,0.21156483313264582,0.06209759776727007,0.01900289352362637,0.057786917583934984
Ensemble-LP-RF-TabPFN-Equal,2,0.713699012384196,0.8024653229729551,0.2130205088621796,0.06204083776643315,0.01764531070124695,0.060440452513351
Ensemble-LP-RF-TabPFN-Equal,3,0.7156372583642282,0.8008705412903141,0.20832851167913835,0.06211395975258695,0.019795015838594488,0.05983858362157687
Ensemble-LP-RF-TabPFN-Equal,4,0.7078330913333296,0.8004814354645734,0.2083142476683336,0.061995566394042474,0.02115214944330932,0.058337286527514236
Ensemble-LP-RF-TabPFN-Equal,5,0.7200846245849033,0.8045482454410392,0.21767471533162852,0.061800544930154626,0.01870756395856016,0.05922917078579376
Ensemble-LP-RF-TabPFN-Weighted,1,0.709580880139908,0.8013626921205905,0.21172674462935726,0.06208842180651922,0.018759664433123543,0.058061658398299076
Ensemble-LP-RF-TabPFN-Weighted,2,0.7137083334500439,0.8025060479364703,0.21244363475424163,0.06203612971354745,0.017637753483780324,0.06083242751528326
Ensemble-LP-RF-TabPFN-Weighted,3,0.7157431184655839,0.8009900866432638,0.2082682563788879,0.062105234167465447,0.02020776556071147,0.06023421254663225
Ensemble-LP-RF-TabPFN-Weighted,4,0.7079143293539295,0.8005815551085341,0.2086400850449953,0.06198881780269789,0.02087832288450577,0.058337286527514236
Ensemble-LP-RF-TabPFN-Weighted,5,0.720233949505236,0.8046562865670072,0.21762715976098726,0.06179060076665498,0.018666060372111826,0.05922917078579376
